angle,likelihood
0,1.40639e-031
1,2.95204e-030
2,5.76173e-029
3,1.04568e-027
4,1.76469e-026
5,2.76916e-025
6,4.04062e-024
7,5.48229e-023
8,6.91661e-022
9,8.11419e-021
10,8.85141e-020
11,8.97845e-019
12,8.46853e-018
13,7.4274e-017
14,6.05747e-016
15,4.59377e-015
16,3.23952e-014
17,2.12434e-013
18,1.29542e-012
19,7.34596e-012
20,3.87391e-011
21,1.89991e-010
22,8.66598e-010
23,3.67654e-009
24,1.45092e-008
25,5.32705e-008
26,1.81994e-007
27,5.78718e-007
28,1.71348e-006
29,4.72628e-006
30,1.21533e-005
31,2.91637e-005
32,6.53973e-005
33,0.000137301
34,0.000270591
35,0.000502332
36,0.000882413
37,0.00147506
38,0.00236199
39,0.00364862
40,0.0054727
41,0.00800969
42,0.0114646
43,0.0160389
44,0.0218674
45,0.0289341
46,0.0369926
47,0.0455294
48,0.0538025
49,0.0609695
50,0.0662823
51,0.06929
52,0.069976
53,0.0687692
54,0.0664155
55,0.0637527
56,0.0614723
57,0.0599517
58,0.0592081
59,0.058974
60,0.0588519
61,0.0584854
62,0.0576873
63,0.0564843
64,0.0550716
65,0.0537019
66,0.0525655
67,0.0517181
68,0.051095
69,0.0506041
70,0.0502492
71,0.0502174
72,0.050872
73,0.0526343
74,0.0557881
75,0.0602875
76,0.0656644
77,0.0711037
78,0.0756911
79,0.0787527
80,0.0801527
81,0.0804173
82,0.080618
83,0.0820496
84,0.0858199
85,0.0924984
86,0.101937
87,0.113301
88,0.125293
89,0.136468
90,0.145576
91,0.151831
92,0.155053
93,0.155667
94,0.154558
95,0.152851
96,0.151666
97,0.151906
98,0.154121
99,0.158454
100,0.16467
101,0.172226
102,0.180388
103,0.188361
104,0.195424
105,0.201091
106,0.205247
107,0.208256
108,0.210963
109,0.214581
110,0.220449
111,0.229715
112,0.243049
113,0.260466
114,0.281338
115,0.304603
116,0.329108
117,0.353963
118,0.378786
119,0.403717
120,0.429243
121,0.455919
122,0.484135
123,0.514069
124,0.545847
125,0.579823
126,0.616827
127,0.658256
128,0.705923
129,0.761756
130,0.827463
131,0.904309
132,0.993111
133,1.0944
134,1.20866
135,1.33652
136,1.47872
137,1.63578
138,1.8076
139,1.99292
140,2.18902
141,2.39178
142,2.59591
143,2.79541
144,2.98374
145,3.15394
146,3.29854
147,3.40971
148,3.4799
149,3.50296
150,3.47553
151,3.39808
152,3.27522
153,3.11508
154,2.92768
155,2.72323
156,2.51057
157,2.29649
158,2.08574
159,1.8816
160,1.68658
161,1.50299
162,1.33299
163,1.17854
164,1.04102
165,0.920944
166,0.817741
167,0.729799
168,0.65467
169,0.589483
170,0.531419
171,0.478114
172,0.427881
173,0.379721
174,0.333172
175,0.288125
176,0.244698
177,0.203208
178,0.164194
179,0.128397
180,0.0966465
